program_label,program,entities,code,number_reported,rent_per_month,hh_income,tpoverty,treatment,year,post,poverty_indicator
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019031,48113019031,13,673,24612,3,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019033,48113019033,13,399,12683,23,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019034,48113019034,49,364,14622,18,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019037,48113019037,12,793,29954,3,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019039,48113019039,43,614,25034,11,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019040,48113019040,94,417,15986,18,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019042,48113019042,12,744,22940,3,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019043,48113019043,11,727,24202,6,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019100,48113019100,45,519,17000,16,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019202,48113019202,12,444,15393,17,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019213,48113019213,228,310,10642,39,1,2022,1,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113020200,48113020200,59,435,14972,35,1,2022,1,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113020300,48113020300,93,350,11406,33,1,2022,1,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113020400,48113020400,61,295,10796,29,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113020500,48113020500,434,297,12179,41,1,2022,1,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201100000,48201100000,81,195,7949,17,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201210500,48201210500,15,470,17298,22,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201210800,48201210800,14,481,15508,41,0,2022,1,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201210900,48201210900,12,381,11077,13,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201211000,48201211000,18,334,13028,34,0,2022,1,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201211100,48201211100,49,324,12421,39,0,2022,1,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201211200,48201211200,44,139,5178,37,0,2022,1,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201211300,48201211300,105,313,12427,33,0,2022,1,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201211400,48201211400,22,324,11760,37,0,2022,1,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201211500,48201211500,11,143,5870,27,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201211600,48201211600,49,152,6163,28,0,2022,1,0
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201211700,48201211700,42,329,12057,32,0,2022,1,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201212300,48201212300,22,400,15236,36,0,2022,1,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201212500,48201212500,20,474,16135,34,0,2022,1,1
Housing Choice Vouchers,3,TX Texas 201 Harris County 48201220400,48201220400,27,428,14750,40,0,2022,1,1
